ZIPCODE,NAICS2012_11,NAICS2012_71,NAICS2012_61,NAICS2012_52,NAICS2012_62,NAICS2012_51,NAICS2012_21,NAICS2012_54,LAT,LON,STATE,ESTMTD_POP_2015
1985,3,0,1,3,4,1,0,13,42.8,-71,MA,4380
2018,0,0,0,0,0,1,0,1,42.17,-70.88,MA,123
2019,0,8,5,12,16,6,0,21,42.09,-71.47,MA,15890
2020,1,0,0,0,0,0,0,1,42.08,-70.64,MA,759
2021,1,14,18,43,85,14,1,125,42.15,-71.13,MA,21930
2025,0,21,6,17,23,4,0,37,42.23,-70.8,MA,8100
2026,0,14,18,57,104,18,1,102,42.24,-71.17,MA,23210
2027,0,0,0,1,1,0,0,2,42.24,-71.17,MA,183
2030,1,3,8,12,14,4,1,29,42.24,-71.27,MA,5800
2032,0,2,2,3,9,1,0,16,42.15,-71.21,MA,4580
2035,0,16,9,26,55,19,0,71,42.06,-71.24,MA,16830
2038,2,16,18,35,64,14,1,103,42.08,-71.38,MA,30920
2040,0,0,0,0,0,0,0,1,42.19,-70.76,MA,122
2041,0,1,0,0,1,0,0,1,42.1,-70.71,MA,843
2043,0,20,23,82,82,11,1,141,42.23,-70.88,MA,23080
2045,0,9,0,7,9,1,0,16,42.3,-70.9,MA,9080
2047,0,0,0,0,0,0,0,2,42.13,-70.69,MA,649
2048,1,7,9,27,42,13,0,80,42.02,-71.21,MA,23100
2050,1,22,7,30,55,7,0,46,42.09,-70.7,MA,22550
2051,0,0,0,0,1,1,0,1,42.15,-70.73,MA,752
2052,1,5,4,18,31,5,0,49,42.18,-71.3,MA,12690
2053,1,4,7,15,29,10,0,31,42.16,-71.43,MA,12820
2054,1,7,2,6,11,2,0,14,42.16,-71.35,MA,7840
2056,0,6,6,10,18,3,0,35,42.11,-71.31,MA,9820
2059,0,0,0,1,0,0,0,1,42.1,-70.71,MA,363
2060,0,1,0,0,1,0,0,2,42.21,-70.76,MA,237
2061,0,13,10,58,57,14,0,97,42.16,-70.78,MA,10930
2062,0,13,22,56,247,27,0,143,42.18,-71.19,MA,27500
2065,0,0,0,0,0,0,0,1,42.1,-70.71,MA,447
2066,1,15,8,17,36,4,0,41,42.18,-70.73,MA,17470
2067,0,10,9,14,59,8,0,86,42.11,-71.18,MA,18210
2070,0,0,0,0,2,0,0,0,42.05,-71.35,MA,182
2071,0,0,2,0,1,0,0,0,42.1,-71.27,MA,1010
2072,1,10,18,42,78,5,0,96,42.11,-71.1,MA,26350
2081,1,10,6,27,52,13,2,81,42.13,-71.24,MA,18890
2090,0,6,11,39,53,4,0,85,42.21,-71.21,MA,15350
2093,0,3,5,11,27,5,1,30,42.06,-71.33,MA,10820
2108,0,19,26,138,45,34,0,334,42.36,-71.06,MA,4050
2109,1,15,18,266,29,49,0,421,42.37,-71.05,MA,3980
2110,1,13,14,554,44,91,0,513,42.36,-71.05,MA,3320
2111,0,19,25,70,102,37,0,209,42.35,-71.06,MA,5720
2112,0,0,1,0,3,0,0,0,42.35,-71.06,MA,574
2113,0,6,2,5,8,1,0,11,42.37,-71.06,MA,5320
2114,0,30,10,27,101,16,0,157,42.36,-71.07,MA,9350
2115,0,26,20,17,47,14,0,54,42.34,-71.1,MA,9810
2116,1,58,41,259,126,59,0,342,42.35,-71.08,MA,15420
2117,0,0,0,2,1,0,0,3,42.35,-71.06,MA,443
2118,0,17,15,25,91,15,0,156,42.34,-71.07,MA,20190
2119,0,6,10,14,102,7,0,25,42.32,-71.09,MA,22430
2120,0,3,3,4,55,1,0,8,42.33,-71.1,MA,7730
2121,0,2,2,4,35,2,0,7,42.31,-71.09,MA,23300
2122,0,9,7,26,89,8,0,29,42.29,-71.04,MA,21000
2123,0,0,1,0,0,0,0,1,42.35,-71.06,MA,449
2124,0,8,19,22,103,2,0,28,42.29,-71.07,MA,43850
2125,0,4,13,19,49,18,0,30,42.32,-71.06,MA,27860
2126,0,4,2,11,36,2,0,5,42.27,-71.1,MA,20900
2127,0,12,10,30,40,21,0,93,42.33,-71.04,MA,29000
2128,0,6,8,19,47,8,0,36,42.36,-71.01,MA,34440
2129,0,11,10,26,36,21,0,95,42.38,-71.06,MA,15910
2130,1,15,25,19,116,8,0,62,42.3,-71.11,MA,30590
2131,0,6,7,12,54,7,0,22,42.28,-71.13,MA,27800
2132,0,8,17,25,77,4,1,61,42.28,-71.16,MA,25130
2133,0,0,0,0,0,0,0,2,42.35,-71.06,MA,0
2134,0,11,10,15,44,17,0,47,42.35,-71.13,MA,13390
